ciudad,ocupacion,sexo,Hombres,Mujeres
VILLAVICENCIO,Trab Agropecuarios y forestales,superiorincompleta,3.6,40.1
VILLAVICENCIO,Trab Agropecuarios y forestales,superiorcompleta,4.9,0
VILLAVICENCIO,Trab de los servicios,noinforma,0,0
VILLAVICENCIO,Trab de los servicios,ninguno,2.3,3.5
VILLAVICENCIO,Trab de los servicios,primariaincompleta,3.2,10.7
VILLAVICENCIO,Trab de los servicios,primariacompleta,4.4,14.2
VILLAVICENCIO,Trab de los servicios,secundariaincompleta,13.7,24.2
VILLAVICENCIO,Trab de los servicios,secundariacompleta,56.6,41.6
VILLAVICENCIO,Trab de los servicios,superiorincompleta,13.9,3.9
VILLAVICENCIO,Trab de los servicios,superiorcompleta,5.9,2
VILLAVICENCIO,Trab/operad no agricolas,noinforma,0,0
VILLAVICENCIO,Trab/operad no agricolas,ninguno,2.3,1.1
VILLAVICENCIO,Trab/operad no agricolas,primariaincompleta,9.5,10.9
VILLAVICENCIO,Trab/operad no agricolas,primariacompleta,17.4,14
VILLAVICENCIO,Trab/operad no agricolas,secundariaincompleta,30,27.9
VILLAVICENCIO,Trab/operad no agricolas,secundariacompleta,36.2,38.9
VILLAVICENCIO,Trab/operad no agricolas,superiorincompleta,4.1,6
VILLAVICENCIO,Trab/operad no agricolas,superiorcompleta,0.6,1.2
