ciudad,ocupacion,sexo,Hombres,Mujeres
BUCARAMANGA A.M.,Trab Agropecuarios y forestales,superiorincompleta,10.1,14.2
BUCARAMANGA A.M.,Trab Agropecuarios y forestales,superiorcompleta,4,34
BUCARAMANGA A.M.,Trab de los servicios,noinforma,0,0
BUCARAMANGA A.M.,Trab de los servicios,ninguno,1.9,3.5
BUCARAMANGA A.M.,Trab de los servicios,primariaincompleta,9.6,9.5
BUCARAMANGA A.M.,Trab de los servicios,primariacompleta,11.2,18.6
BUCARAMANGA A.M.,Trab de los servicios,secundariaincompleta,7,15.8
BUCARAMANGA A.M.,Trab de los servicios,secundariacompleta,43.3,33.8
BUCARAMANGA A.M.,Trab de los servicios,superiorincompleta,23.2,16.3
BUCARAMANGA A.M.,Trab de los servicios,superiorcompleta,3.8,2.5
BUCARAMANGA A.M.,Trab/operad no agricolas,noinforma,0,0
BUCARAMANGA A.M.,Trab/operad no agricolas,ninguno,1.4,1.3
BUCARAMANGA A.M.,Trab/operad no agricolas,primariaincompleta,10.4,10.3
BUCARAMANGA A.M.,Trab/operad no agricolas,primariacompleta,20.7,15
BUCARAMANGA A.M.,Trab/operad no agricolas,secundariaincompleta,24.4,20.2
BUCARAMANGA A.M.,Trab/operad no agricolas,secundariacompleta,31.1,37.9
BUCARAMANGA A.M.,Trab/operad no agricolas,superiorincompleta,10.4,13.9
BUCARAMANGA A.M.,Trab/operad no agricolas,superiorcompleta,1.6,1.4
CALI A.M.,Comerciantes y vendedores,noinforma,0,0
CALI A.M.,Comerciantes y vendedores,ninguno,1.8,1.4
CALI A.M.,Comerciantes y vendedores,primariaincompleta,11.3,7.8
CALI A.M.,Comerciantes y vendedores,primariacompleta,14.9,7.5
CALI A.M.,Comerciantes y vendedores,secundariaincompleta,20.2,16.4
CALI A.M.,Comerciantes y vendedores,secundariacompleta,27.9,43.4
CALI A.M.,Comerciantes y vendedores,superiorincompleta,14.5,18.9
CALI A.M.,Comerciantes y vendedores,superiorcompleta,9.5,4.8
CALI A.M.,Dir/func Publicos superiores,noinforma,0,0
CALI A.M.,Dir/func Publicos superiores,ninguno,0,0
CALI A.M.,Dir/func Publicos superiores,primariaincompleta,0,0
CALI A.M.,Dir/func Publicos superiores,primariacompleta,2.1,4
CALI A.M.,Dir/func Publicos superiores,secundariaincompleta,1.9,2.2
CALI A.M.,Dir/func Publicos superiores,secundariacompleta,21.7,17.4
CALI A.M.,Dir/func Publicos superiores,superiorincompleta,12.3,18.3
CALI A.M.,Dir/func Publicos superiores,superiorcompleta,62,58.1
CALI A.M.,No informa,noinforma,0,0
CALI A.M.,No informa,ninguno,3.6,14.2
CALI A.M.,No informa,primariaincompleta,22.5,11.1
CALI A.M.,No informa,primariacompleta,17.2,0
CALI A.M.,No informa,secundariaincompleta,38.5,63.3
CALI A.M.,No informa,secundariacompleta,18.2,11.3
CALI A.M.,No informa,superiorincompleta,0,0
CALI A.M.,No informa,superiorcompleta,0,0
CALI A.M.,P. Administrativo.,noinforma,0,0
CALI A.M.,P. Administrativo.,ninguno,0,0
CALI A.M.,P. Administrativo.,primariaincompleta,1.3,0.9
CALI A.M.,P. Administrativo.,primariacompleta,7.1,1.3
CALI A.M.,P. Administrativo.,secundariaincompleta,12.9,4.8
CALI A.M.,P. Administrativo.,secundariacompleta,44.5,36.2
CALI A.M.,P. Administrativo.,superiorincompleta,28.4,42.9
CALI A.M.,P. Administrativo.,superiorcompleta,5.9,13.9
CALI A.M.,Profesionales y tecnicos,noinforma,0,0
CALI A.M.,Profesionales y tecnicos,ninguno,0,0
CALI A.M.,Profesionales y tecnicos,primariaincompleta,0.4,0.5
CALI A.M.,Profesionales y tecnicos,primariacompleta,0.4,0
CALI A.M.,Profesionales y tecnicos,secundariaincompleta,2.8,0.6
CALI A.M.,Profesionales y tecnicos,secundariacompleta,10.2,5.3
CALI A.M.,Profesionales y tecnicos,superiorincompleta,35.1,20.7
CALI A.M.,Profesionales y tecnicos,superiorcompleta,51.1,72.9
CALI A.M.,Trab Agropecuarios y forestales,noinforma,0,0
CALI A.M.,Trab Agropecuarios y forestales,ninguno,10.6,28.3
CALI A.M.,Trab Agropecuarios y forestales,primariaincompleta,9.8,0
CALI A.M.,Trab Agropecuarios y forestales,primariacompleta,14,0
CALI A.M.,Trab Agropecuarios y forestales,secundariaincompleta,23.5,21
CALI A.M.,Trab Agropecuarios y forestales,secundariacompleta,26.9,25.1
CALI A.M.,Trab Agropecuarios y forestales,superiorincompleta,15.2,0
CALI A.M.,Trab Agropecuarios y forestales,superiorcompleta,0,25.6
CALI A.M.,Trab de los servicios,noinforma,0,0
CALI A.M.,Trab de los servicios,ninguno,0.9,3.1
CALI A.M.,Trab de los servicios,primariaincompleta,6.3,13.7
CALI A.M.,Trab de los servicios,primariacompleta,9.4,17.3
CALI A.M.,Trab de los servicios,secundariaincompleta,22.6,25.6
CALI A.M.,Trab de los servicios,secundariacompleta,50.6,32
CALI A.M.,Trab de los servicios,superiorincompleta,9,7.2
CALI A.M.,Trab de los servicios,superiorcompleta,1.1,1.1
CALI A.M.,Trab/operad no agricolas,noinforma,0,0
CALI A.M.,Trab/operad no agricolas,ninguno,1.7,0
CALI A.M.,Trab/operad no agricolas,primariaincompleta,11,6.3
CALI A.M.,Trab/operad no agricolas,primariacompleta,13.7,16.4
CALI A.M.,Trab/operad no agricolas,secundariaincompleta,26.4,22.9
CALI A.M.,Trab/operad no agricolas,secundariacompleta,39,44.6
CALI A.M.,Trab/operad no agricolas,superiorincompleta,7.5,7.7
CALI A.M.,Trab/operad no agricolas,superiorcompleta,0.7,2
CARTAGENA,Comerciantes y vendedores,noinforma,0,0
CARTAGENA,Comerciantes y vendedores,ninguno,3.6,2.9
CARTAGENA,Comerciantes y vendedores,primariaincompleta,6.8,6.9
CARTAGENA,Comerciantes y vendedores,primariacompleta,15.3,8.2
CARTAGENA,Comerciantes y vendedores,secundariaincompleta,20.1,18
CARTAGENA,Comerciantes y vendedores,secundariacompleta,31.2,31.7
CARTAGENA,Comerciantes y vendedores,superiorincompleta,14.7,24.3
CARTAGENA,Comerciantes y vendedores,superiorcompleta,8.2,8
CARTAGENA,Dir/func Publicos superiores,noinforma,0,0
CARTAGENA,Dir/func Publicos superiores,ninguno,0,0
CARTAGENA,Dir/func Publicos superiores,primariaincompleta,0,0
CARTAGENA,Dir/func Publicos superiores,primariacompleta,0,2.4
CARTAGENA,Dir/func Publicos superiores,secundariaincompleta,0,0
CARTAGENA,Dir/func Publicos superiores,secundariacompleta,10.2,7.2
CARTAGENA,Dir/func Publicos superiores,superiorincompleta,23.5,19.9
CARTAGENA,Dir/func Publicos superiores,superiorcompleta,66.3,70.4
CARTAGENA,No informa,noinforma,0,0
CARTAGENA,No informa,ninguno,0,51.1
CARTAGENA,No informa,primariaincompleta,8.6,0
CARTAGENA,No informa,primariacompleta,28.8,0
CARTAGENA,No informa,secundariaincompleta,38.9,48.9
CARTAGENA,No informa,secundariacompleta,15.4,0
CARTAGENA,No informa,superiorincompleta,8.3,0
CARTAGENA,No informa,superiorcompleta,0,0
CARTAGENA,P. Administrativo.,noinforma,0,0
CARTAGENA,P. Administrativo.,ninguno,0,0
CARTAGENA,P. Administrativo.,primariaincompleta,0,0
CARTAGENA,P. Administrativo.,primariacompleta,2.6,2.8
CARTAGENA,P. Administrativo.,secundariaincompleta,9.2,2
CARTAGENA,P. Administrativo.,secundariacompleta,23.3,17.3
CARTAGENA,P. Administrativo.,superiorincompleta,45,49.7
CARTAGENA,P. Administrativo.,superiorcompleta,19.9,28.2
CARTAGENA,Profesionales y tecnicos,noinforma,0,0
CARTAGENA,Profesionales y tecnicos,ninguno,0,0
CARTAGENA,Profesionales y tecnicos,primariaincompleta,0.4,0
CARTAGENA,Profesionales y tecnicos,primariacompleta,0.3,0
CARTAGENA,Profesionales y tecnicos,secundariaincompleta,1.4,1.1
CARTAGENA,Profesionales y tecnicos,secundariacompleta,4.6,4.7
CARTAGENA,Profesionales y tecnicos,superiorincompleta,30.9,19.6
CARTAGENA,Profesionales y tecnicos,superiorcompleta,62.4,74.6
CARTAGENA,Trab Agropecuarios y forestales,noinforma,0,0
CARTAGENA,Trab Agropecuarios y forestales,ninguno,12.9,0
CARTAGENA,Trab Agropecuarios y forestales,primariaincompleta,6.2,0
CARTAGENA,Trab Agropecuarios y forestales,primariacompleta,10.9,0
CARTAGENA,Trab Agropecuarios y forestales,secundariaincompleta,6.9,0
CARTAGENA,Trab Agropecuarios y forestales,secundariacompleta,40,0
CARTAGENA,Trab Agropecuarios y forestales,superiorincompleta,23.1,25.7
CARTAGENA,Trab Agropecuarios y forestales,superiorcompleta,0,74.3
CARTAGENA,Trab de los servicios,noinforma,0,0
CARTAGENA,Trab de los servicios,ninguno,0,3.2
CARTAGENA,Trab de los servicios,primariaincompleta,3.7,9.9
CARTAGENA,Trab de los servicios,primariacompleta,6,15.1
CARTAGENA,Trab de los servicios,secundariaincompleta,19.3,23.8
CARTAGENA,Trab de los servicios,secundariacompleta,37.9,29.1
CARTAGENA,Trab de los servicios,superiorincompleta,26.7,16.6
CARTAGENA,Trab de los servicios,superiorcompleta,6.4,2.2
CARTAGENA,Trab/operad no agricolas,noinforma,0,0
CARTAGENA,Trab/operad no agricolas,ninguno,1.9,2.9
CARTAGENA,Trab/operad no agricolas,primariaincompleta,7.4,9.3
CARTAGENA,Trab/operad no agricolas,primariacompleta,13.4,17.6
CARTAGENA,Trab/operad no agricolas,secundariaincompleta,27.3,23.8
CARTAGENA,Trab/operad no agricolas,secundariacompleta,34.7,27.6
CARTAGENA,Trab/operad no agricolas,superiorincompleta,14.9,15.8
CARTAGENA,Trab/operad no agricolas,superiorcompleta,0.4,3
CUCUTA A.M.,Comerciantes y vendedores,noinforma,0,0
CUCUTA A.M.,Comerciantes y vendedores,ninguno,5.5,2.8
CUCUTA A.M.,Comerciantes y vendedores,primariaincompleta,16.1,10.7
CUCUTA A.M.,Comerciantes y vendedores,primariacompleta,19.8,13.7
CUCUTA A.M.,Comerciantes y vendedores,secundariaincompleta,19.3,21
CUCUTA A.M.,Comerciantes y vendedores,secundariacompleta,25.5,32.4
CUCUTA A.M.,Comerciantes y vendedores,superiorincompleta,10.7,15
CUCUTA A.M.,Comerciantes y vendedores,superiorcompleta,3.1,4.3
CUCUTA A.M.,Dir/func Publicos superiores,noinforma,0,0
CUCUTA A.M.,Dir/func Publicos superiores,ninguno,0,0
CUCUTA A.M.,Dir/func Publicos superiores,primariaincompleta,6.6,0
CUCUTA A.M.,Dir/func Publicos superiores,primariacompleta,16.6,6.6
CUCUTA A.M.,Dir/func Publicos superiores,secundariaincompleta,11.6,10.8
CUCUTA A.M.,Dir/func Publicos superiores,secundariacompleta,12.4,25.7
CUCUTA A.M.,Dir/func Publicos superiores,superiorincompleta,16.9,6
CUCUTA A.M.,Dir/func Publicos superiores,superiorcompleta,35.8,51
CUCUTA A.M.,No informa,noinforma,0,0
CUCUTA A.M.,No informa,ninguno,8,0
CUCUTA A.M.,No informa,primariaincompleta,12.9,24.5
